Name,Origin,Flavors
Blue Moon,Indonesia,Spicy:0.28571428571428575;Chocolaty:0.4285714285714286;Fruity:0.14285714285714288;Flowery:0.14285714285714288
Kintamani Natural,Indonesia,Buttery:0.27272727272727276;Fruity:0.27272727272727276;Earthy:0.27272727272727276;Winey:0.18181818181818182
Caranavi La Paz FTO,Bolivia,Nutty:0.125;Chocolaty:0.375;Fruity:0.125;Flowery:0.375
Bela Vista Yellow Bourbon Honey,Brazil,Fruity:1.0
Daterra CHC Reserve Espresso,Brazil,Nutty:0.3333333333333333;Buttery:0.3333333333333333;Chocolaty:0.3333333333333333
Daterra Pearl Bourbon Peaberry RFA,Brazil,Nutty:0.16666666666666666;Buttery:0.16666666666666666;Spicy:0.25;Chocolaty:0.08333333333333333;Fruity:0.25;Flowery:0.08333333333333333
Daterra Sweet Blue RFA,Brazil,Nutty:0.2;Buttery:0.2;Spicy:0.2;Chocolaty:0.30000000000000004;Flowery:0.1
Daterra Sweet Yellow RFA,Brazil,Nutty:0.3333333333333333;Buttery:0.3333333333333333;Chocolaty:0.1111111111111111;Flowery:0.2222222222222222
Daterra Villa Borghesi RFA,Brazil,Nutty:0.15384615384615385;Chocolaty:0.23076923076923078;Fruity:0.23076923076923078;Winey:0.15384615384615385;Flowery:0.23076923076923078
Fazenda Da Lagoa Natural 17/18,Brazil,Nutty:0.30000000000000004;Spicy:0.1;Chocolaty:0.30000000000000004;Fruity:0.30000000000000004
Oberon Natural 17/18,Brazil,Nutty:0.3333333333333333;Spicy:0.1111111111111111;Chocolaty:0.3333333333333333;Fruity:0.2222222222222222
Dutra Natural 14/16,Brazil,Buttery:0.28571428571428575;Chocolaty:0.4285714285714286;Fruity:0.28571428571428575
Ngozi Gatakuza #13,Burundi,Spicy:0.125;Fruity:0.375;Winey:0.25;Flowery:0.25
Bucaramanga El Gato Supremo,Colombia,Nutty:0.4;Buttery:0.2;Chocolaty:0.2;Flowery:0.2
Don Enrique Reserve,Colombia,Nutty:0.2;Chocolaty:0.30000000000000004;Fruity:0.30000000000000004;Earthy:0.2
Geisha Anaerobic Natural Marcela,Colombia,Nutty:0.2;Chocolaty:0.30000000000000004;Fruity:0.30000000000000004;Earthy:0.2
Geisha Washed,Colombia,Winey:0.25;Flowery:0.75
Huila Supremo,Colombia,Chocolaty:0.3333333333333333;Fruity:0.3333333333333333;Winey:0.3333333333333333
Sierra Nevada,Colombia,Chocolaty:0.27272727272727276;Fruity:0.27272727272727276;Earthy:0.27272727272727276;Flowery:0.18181818181818182
El Conquistador Tarrazu,Costa Rica,Nutty:0.3;Chocolaty:0.3;Fruity:0.3;Earthy:0.09999999999999999
La Gladiola,Costa Rica,Nutty:0.3333333333333333;Buttery:0.1111111111111111;Chocolaty:0.2222222222222222;Fruity:0.3333333333333333
La Magnolia Tres Rios,Costa Rica,Nutty:0.25;Buttery:0.25;Chocolaty:0.25;Fruity:0.25
La Minita Tarrazu RFA,Costa Rica,Chocolaty:0.3333333333333333;Fruity:0.3333333333333333;Earthy:0.3333333333333333
La Amistad,Costa Rica,Buttery:0.18181818181818182;Chocolaty:0.27272727272727276;Fruity:0.27272727272727276;Earthy:0.27272727272727276
Ramirez Honey Process,Dominican Republic,Nutty:0.28571428571428575;Buttery:0.28571428571428575;Fruity:0.4285714285714286
Ramirez Natural,Dominican Republic,Nutty:0.2222222222222222;Buttery:0.2222222222222222;Chocolaty:0.2222222222222222;Earthy:0.3333333333333333
Ramirez Washed,Dominican Republic,Nutty:0.2222222222222222;Buttery:0.2222222222222222;Chocolaty:0.2222222222222222;Earthy:0.3333333333333333
Umoja Washed,Congo,Chocolaty:0.16666666666666666;Fruity:0.5;Flowery:0.3333333333333333
Finca La Esperanza RFA SHG,El Salvador,Buttery:0.25;Fruity:0.75
San Salvadoran HG,El Salvador,Nutty:0.6000000000000001;Chocolaty:0.2;Fruity:0.2
Kembata Natural Gr 1,Ethiopia,Buttery:0.1111111111111111;Chocolaty:0.2222222222222222;Fruity:0.3333333333333333;Earthy:0.2222222222222222;Winey:0.1111111111111111
Longberry Deep Blue Harrar,Ethiopia,Spicy:0.25;Chocolaty:0.25;Fruity:0.25;Flowery:0.25
Misty Valley Yirgacheffe Natural,Ethiopia,Nutty:0.125;Spicy:0.1875;Chocolaty:0.1875;Fruity:0.1875;Winey:0.1875;Flowery:0.125
Kayon Mountain Guji G1 Natural,Ethiopia,Buttery:0.25;Fruity:0.375;Flowery:0.375
Sidamo Shantawene Natural G1,Ethiopia,Buttery:0.1;Fruity:0.30000000000000004;Winey:0.30000000000000004;Flowery:0.30000000000000004
Yirgacheffe FTO,Ethiopia,Chocolaty:0.3333333333333333;Fruity:0.3333333333333333;Earthy:0.3333333333333333
Yirgacheffe Kochere Gr 2,Ethiopia,Fruity:0.5;Flowery:0.5
Yirgacheffe Konga FT Washed,Ethiopia,Chocolaty:0.25;Fruity:0.25;Earthy:0.25;Flowery:0.25
Bella Carmona Antigua,Guatemala,Buttery:0.1111111111111111;Chocolaty:0.3333333333333333;Fruity:0.3333333333333333;Earthy:0.2222222222222222
Finca Santa Margarita,Guatemala,Chocolaty:0.42857142857142855;Fruity:0.42857142857142855;Flowery:0.14285714285714285
Huehuetenango SHB,Guatemala,Nutty:0.3333333333333333;Chocolaty:0.3333333333333333;Flowery:0.3333333333333333
La Flor del Cafe Antigua,Guatemala,Buttery:0.2;Chocolaty:0.2;Fruity:0.2;Earthy:0.2;Flowery:0.2
Cimarron SHB- Asproguate,Guatemala,Nutty:0.30000000000000004;Buttery:0.2;Chocolaty:0.2;Fruity:0.30000000000000004
Guatemala HHT,Guatemala,Nutty:0.1111111111111111;Chocolaty:0.3333333333333333;Fruity:0.3333333333333333;Flowery:0.2222222222222222
Guatemala Robusta Washed,Guatemala,Buttery:0.09090909090909091;Spicy:0.18181818181818182;Chocolaty:0.27272727272727276;Fruity:0.27272727272727276;Earthy:0.18181818181818182
Geisha Finca Nueva Granada RFA,Guatemala,Fruity:0.6000000000000001;Flowery:0.4
Haitian Blue,Haiti,Nutty:0.42857142857142855;Buttery:0.42857142857142855;Fruity:0.14285714285714285
Blue Pine,Haiti,Buttery:0.4;Chocolaty:0.2;Flowery:0.4
Marre Blanc,Haiti,Nutty:0.3333333333333333;Buttery:0.3333333333333333;Chocolaty:0.1111111111111111;Flowery:0.2222222222222222
Savanne Zombie,Haiti,Nutty:0.375;Buttery:0.375;Flowery:0.25
Kingdom Growers,Honduras,Buttery:0.28571428571428575;Fruity:0.4285714285714286;Winey:0.14285714285714288;Flowery:0.14285714285714288
18 Rabbit Black Honey Process,Honduras,Buttery:0.25;Chocolaty:0.25;Fruity:0.25;Flowery:0.25
18 Rabbit Natural,Honduras,Buttery:0.25;Chocolaty:0.25;Fruity:0.25;Flowery:0.25
18 Rabbit Washed,Honduras,Buttery:0.25;Chocolaty:0.25;Fruity:0.25;Flowery:0.25
Monsooned Malabar AA,India,Spicy:0.30000000000000004;Chocolaty:0.1;Earthy:0.30000000000000004;Flowery:0.30000000000000004
Mysore Nuggets 'Extra Bold',India,Nutty:0.25;Buttery:0.16666666666666666;Spicy:0.25;Chocolaty:0.16666666666666666;Earthy:0.16666666666666666
Blue Mountain Mixed Grades,Jamaica,Nutty:0.2;Buttery:0.2;Chocolaty:0.2;Fruity:0.2;Winey:0.2
Estate Kayumas,Indonesia,Nutty:0.16666666666666666;Chocolaty:0.5;Earthy:0.3333333333333333
Taman Dadar Kayumas,Indonesia,Spicy:0.1111111111111111;Chocolaty:0.1111111111111111;Fruity:0.2222222222222222;Earthy:0.3333333333333333;Flowery:0.2222222222222222
AA Select Plus,Kenya,Fruity:0.6000000000000001;Earthy:0.2;Flowery:0.2
Karani AA,Kenya,Fruity:0.75;Earthy:0.25
Kiandu AA,Kenya,Fruity:0.6000000000000001;Earthy:0.2;Flowery:0.2
Muiri Estate,Kenya,Fruity:1.0
Kona Extra Fancy,United States,Nutty:0.23076923076923078;Buttery:0.23076923076923078;Chocolaty:0.23076923076923078;Fruity:0.23076923076923078;Flowery:0.07692307692307693
Kona Purple Mountain,United States,Nutty:0.25;Buttery:0.25;Chocolaty:0.25;Fruity:0.25
Chiapas Turquesa HG EP,Mexico,Nutty:0.27272727272727276;Buttery:0.27272727272727276;Chocolaty:0.27272727272727276;Flowery:0.18181818181818182
La Laja Honey Process,Mexico,Nutty:0.25;Buttery:0.25;Chocolaty:0.25;Flowery:0.25
Chiapas,Mexico,Nutty:0.27272727272727276;Buttery:0.27272727272727276;Chocolaty:0.27272727272727276;Fruity:0.18181818181818182
Oaxaca FTO,Mexico,Nutty:0.25;Buttery:0.25;Chocolaty:0.25;Flowery:0.25
Rancho San Francisco Chiapas,Mexico,Nutty:0.25;Buttery:0.25;Chocolaty:0.25;Flowery:0.25
Jinotega Finca La Isabelia,Nicaragua,Nutty:0.5;Buttery:0.16666666666666666;Chocolaty:0.3333333333333333
Nicaragua SHG,Nicaragua,Nutty:0.3333333333333333;Chocolaty:0.3333333333333333;Fruity:0.3333333333333333
Boquette SHB,Panama,Buttery:0.25;Chocolaty:0.25;Earthy:0.25;Winey:0.25
Arokara AA,Papua New Guinea,Nutty:0.125;Buttery:0.125;Spicy:0.125;Chocolaty:0.25;Earthy:0.375
Mile High A,Papua New Guinea,Nutty:0.28571428571428575;Fruity:0.4285714285714286;Winey:0.28571428571428575
Purosa AX FTO,Papua New Guinea,Nutty:0.2222222222222222;Spicy:0.1111111111111111;Chocolaty:0.3333333333333333;Earthy:0.3333333333333333
Cajamarca Chirinos Grade 1,Peru,Nutty:0.2857142857142857;Buttery:0.14285714285714285;Fruity:0.42857142857142855;Earthy:0.14285714285714285
Finca La Esperanza FTO RFA,Peru,Nutty:0.25;Buttery:0.125;Chocolaty:0.125;Fruity:0.375;Flowery:0.125
Hingakawa Minazi Women's Co-Op FTO,Rwanda,Fruity:0.18181818181818182;Earthy:0.27272727272727276;Winey:0.27272727272727276;Flowery:0.27272727272727276
Maboro Washed,Rwanda,Chocolaty:0.25;Fruity:0.375;Winey:0.375
Kalossi,Indonesia,Nutty:0.25;Spicy:0.25;Chocolaty:0.25;Earthy:0.25
Toraja,Indonesia,Nutty:0.3333333333333333;Spicy:0.3333333333333333;Chocolaty:0.3333333333333333
Boru Batak Lintong,Indonesia,Buttery:0.75;Spicy:0.25
Mandheling Grade 1,Indonesia,Spicy:0.25;Fruity:0.25;Earthy:0.25;Flowery:0.25
Mutu Batak Lintong,Indonesia,Buttery:0.28571428571428575;Spicy:0.28571428571428575;Earthy:0.4285714285714286
Aceh Ketiara FTO,Indonesia,Spicy:0.14285714285714288;Chocolaty:0.4285714285714286;Earthy:0.4285714285714286
Mandheling FTO,Indonesia,Buttery:0.1111111111111111;Spicy:0.1111111111111111;Fruity:0.2222222222222222;Earthy:0.3333333333333333;Flowery:0.2222222222222222
Raja Batak Peaberry,Indonesia,Buttery:0.28571428571428575;Spicy:0.28571428571428575;Earthy:0.4285714285714286
Peaberry,Tanzania,Spicy:0.18181818181818182;Chocolaty:0.27272727272727276;Fruity:0.27272727272727276;Flowery:0.27272727272727276
Maubesse FTO,Indonesia,Buttery:0.16666666666666666;Spicy:0.16666666666666666;Fruity:0.25;Earthy:0.25;Flowery:0.16666666666666666
Mt Elgon Grade A,Uganda,Nutty:0.3333333333333333;Chocolaty:0.3333333333333333;Earthy:0.3333333333333333
Bugisu RFA,Uganda,Nutty:0.375;Chocolaty:0.375;Earthy:0.25
Vietnam Robusta,Vietnam,Nutty:0.5;Earthy:0.5
Mocca Haimi Natural,Yemen,Spicy:0.2222222222222222;Chocolaty:0.3333333333333333;Fruity:0.3333333333333333;Earthy:0.1111111111111111
Mocca Hawari,Yemen,Buttery:0.16666666666666666;Spicy:0.16666666666666666;Fruity:0.5;Earthy:0.16666666666666666
Mocca Khulani Natural,Yemen,Chocolaty:0.30000000000000004;Fruity:0.30000000000000004;Earthy:0.1;Winey:0.1;Flowery:0.2
